Creation Time: 2023_7_10-22-11-3
22-11-3 | [INFO] TraderPlusCore - Started !
22-11-3 | [INFO] TraderPlus file exist ! loading...
22-11-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
22-11-3 | [INFO] TraderPlus file exist ! loading...
22-11-4 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
22-11-4 | [INFO] TraderPlus file exist ! loading...
22-11-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
22-11-5 | [INFO] TraderPlus file exist ! loading...
22-11-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
22-11-5 | [INFO] TraderPlus file exist ! loading...
22-11-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
22-11-5 | [INFO] TraderPlus file exist ! loading...
22-11-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
22-11-5 | [INFO] TraderPlusServer - Started
22-11-5 | [INFO] TraderPlusBankingCore - Started !
22-11-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
22-11-5 | [INFO] TraderPlusBankingServer - Started
22-11-5 | [INFO] CarLockCore - Started !
22-11-5 | [INFO] CarLockServer - Started
22-11-5 | [INFO] SafeZoneCore - Started !
22-11-5 | [INFO] DEBUG MODE ENABLED
22-11-22 | [INFO] ID_count: 10
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Holler Beverages.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Holler Packaged Food.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Holler Fruit & Veg.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Holler Meat.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Holler Fish.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Holler Fungus.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Holler Pelts.json
